angle (deg),case,psnr_bc,psnr_sr_1,psnr_sr_2,psnr_sr_3,scale,shape,slide,ssim_bc,ssim_sr_1,ssim_sr_2,ssim_sr_3,weight
270.0,case01015,14.500249145605595,22.400705969782443,22.65261705181505,22.379144881311927,4.0,"(256, 256)",1.0,0.13193102590982345,0.4180138918830996,0.47384639629322706,0.47094853076008775,t1
288.0,case01015,15.294431526582217,12.042452665595631,12.770433686559063,12.749356722300238,2.0,"(256, 256)",1.0,0.3134031784846669,0.14358716428644389,0.15149216824606657,0.15225359862080562,t1
288.0,case01015,14.500249145605595,18.923564903323268,19.256734645197994,18.268811305935877,4.0,"(256, 256)",1.0,0.13193102590982345,0.30276750630226223,0.3337411981279737,0.2789366390067923,t1
306.0,case01015,15.294431526582217,14.163412522007071,11.063394525473742,14.283069794439315,2.0,"(256, 256)",1.0,0.3134031784846669,0.2402886874835486,0.18329591547581825,0.24655590230691207,t1
306.0,case01015,14.500249145605595,14.16789855406995,14.372667933021184,13.959259111706356,4.0,"(256, 256)",1.0,0.13193102590982345,0.2479930142110015,0.25981329212810433,0.24053937584088783,t1
324.0,case01015,15.294431526582217,14.070097529803006,13.334401608448157,14.24580934118185,2.0,"(256, 256)",1.0,0.3134031784846669,0.22992248816610927,0.2098809926451625,0.23837643766758504,t1
324.0,case01015,14.500249145605595,13.627591359717162,13.918934239573879,13.475039787062336,4.0,"(256, 256)",1.0,0.13193102590982345,0.24039155141116647,0.25228242769551606,0.23427470132129286,t1
342.0,case01015,15.294431526582217,12.758244462925926,15.129009121492894,14.609138616515159,2.0,"(256, 256)",1.0,0.3134031784846669,0.15429584419463868,0.2680582272620931,0.22478716552321135,t1
342.0,case01015,14.500249145605595,16.933633970140804,17.15492519268912,16.49168164236395,4.0,"(256, 256)",1.0,0.13193102590982345,0.25837102449352733,0.276379541561219,0.24228701134243946,t1
0.0,case01015,14.857732603062452,13.375942459523596,15.220202296296447,16.116133884642522,2.0,"(256, 256)",2.0,0.18887411291510164,0.07601891957713741,0.14595687979040167,0.4335019370082411,t1
0.0,case01015,14.27165564237502,24.57469858563414,24.118544744388103,24.78466168254598,4.0,"(256, 256)",2.0,0.10987384276330374,0.5036495165637628,0.4265576716498212,0.5686566642790665,t1
18.0,case01015,14.857732603062452,12.057596984296506,14.597156502630144,14.206759402548165,2.0,"(256, 256)",2.0,0.18887411291510164,0.15214344094396787,0.25709660516629657,0.21426425017278083,t1
18.0,case01015,14.27165564237502,17.62120266371584,17.977918496565202,17.277360524489346,4.0,"(256, 256)",2.0,0.10987384276330374,0.2892373795906618,0.3190205935032409,0.2738141058733071,t1
36.0,case01015,14.857732603062452,10.827625123726465,11.396685842022606,14.676942994000228,2.0,"(256, 256)",2.0,0.18887411291510164,0.19000568270053217,0.19276786364197301,0.3204554877714516,t1
36.0,case01015,14.27165564237502,14.95315283107641,15.308116470880258,14.75712999825344,4.0,"(256, 256)",2.0,0.10987384276330374,0.2722794559516835,0.2904371741954684,0.26353326334626326,t1
54.0,case01015,14.857732603062452,11.110471410676652,15.123596741505267,13.106980139127568,2.0,"(256, 256)",2.0,0.18887411291510164,0.19288233195355833,0.30428973281684335,0.21156991145202123,t1
54.0,case01015,14.27165564237502,13.811202580679481,14.034716116396007,13.61989086021132,4.0,"(256, 256)",2.0,0.10987384276330374,0.25232005802891766,0.26530498522548995,0.24477676340959242,t1
72.0,case01015,14.857732603062452,12.977383546617016,12.512374883527006,12.86541540508766,2.0,"(256, 256)",2.0,0.18887411291510164,0.16284197230839834,0.15563854512811603,0.1606587309905901,t1
72.0,case01015,14.27165564237502,16.239011397699066,16.622248544181716,15.93676664829475,4.0,"(256, 256)",2.0,0.10987384276330374,0.254614973886001,0.277512610772529,0.24111764996090726,t1
90.0,case01015,14.857732603062452,13.605767906326081,15.016917943609336,13.79490760740583,2.0,"(256, 256)",2.0,0.18887411291510164,0.07645437341855037,0.12254807118676503,0.07955297911821392,t1
90.0,case01015,14.27165564237502,22.80176154587994,23.04770276002053,22.556808506167695,4.0,"(256, 256)",2.0,0.10987384276330374,0.4230008327304292,0.44013897530224655,0.4160753480605851,t1
108.0,case01015,14.857732603062452,14.391575525376552,14.602650997975653,14.630017540683898,2.0,"(256, 256)",2.0,0.18887411291510164,0.22665752409371775,0.26442003626916405,0.27246775317698146,t1
108.0,case01015,14.27165564237502,18.547879420551965,18.866143767840832,18.045689270600544,4.0,"(256, 256)",2.0,0.10987384276330374,0.30871443312551006,0.33955141863188104,0.2874982517790127,t1
126.0,case01015,14.857732603062452,14.288452433171004,14.683988286925675,14.174636859638595,2.0,"(256, 256)",2.0,0.18887411291510164,0.25908765843139975,0.2943688776530511,0.24567911752501906,t1
126.0,case01015,14.27165564237502,13.91998403714311,14.248165147480474,13.73452388996453,4.0,"(256, 256)",2.0,0.10987384276330374,0.2515375271152104,0.2672235040451925,0.243486813159602,t1
144.0,case01015,14.857732603062452,13.17579386764457,14.111977694990266,15.062065077232187,2.0,"(256, 256)",2.0,0.18887411291510164,0.20770369333591795,0.22942703595649214,0.2954129818201296,t1
144.0,case01015,14.27165564237502,13.524074431673949,13.74775742460911,13.348433318210017,4.0,"(256, 256)",2.0,0.10987384276330374,0.24489912362656346,0.2576182073932267,0.23742108219225716,t1
162.0,case01015,14.857732603062452,13.175162979457873,14.780114397654181,12.610906964285881,2.0,"(256, 256)",2.0,0.18887411291510164,0.16263583767652023,0.2839849132250603,0.1526302849300278,t1
162.0,case01015,14.27165564237502,15.438628839513317,15.837852488766309,15.26796334064564,4.0,"(256, 256)",2.0,0.10987384276330374,0.23593793482647993,0.2575788593640904,0.2257182012087296,t1
180.0,case01015,14.857732603062452,14.668898616111115,15.500681814058275,15.528278951631734,2.0,"(256, 256)",2.0,0.18887411291510164,0.11449335991221722,0.2006773063701253,0.2119621880229677,t1
180.0,case01015,14.27165564237502,21.36216988898312,21.10309126300727,22.06928355811548,4.0,"(256, 256)",2.0,0.10987384276330374,0.27776152997970505,0.26184864204481734,0.3527647967254116,t1
198.0,case01015,14.857732603062452,13.479856816687958,14.67469294450505,14.450459447440036,2.0,"(256, 256)",2.0,0.18887411291510164,0.1713355772223851,0.27851807250853333,0.23674404063058144,t1
198.0,case01015,14.27165564237502,18.142721248494663,18.55389439771986,17.81202015947047,4.0,"(256, 256)",2.0,0.10987384276330374,0.2965534063966002,0.32865191543798344,0.2801123431973109,t1
216.0,case01015,14.857732603062452,12.017322450514982,11.91726298829531,13.25941173820226,2.0,"(256, 256)",2.0,0.18887411291510164,0.19485133261566034,0.1934471052030721,0.21178554357360546,t1
216.0,case01015,14.27165564237502,14.383570965527795,14.606313021538632,14.082502944665077,4.0,"(256, 256)",2.0,0.10987384276330374,0.2578081644426154,0.2720405006701629,0.2474224903465531,t1
234.0,case01015,14.857732603062452,13.696714779786996,14.135003690488501,14.808780197637537,2.0,"(256, 256)",2.0,0.18887411291510164,0.21688789425057334,0.23004776363751,0.26472223229907155,t1
234.0,case01015,14.27165564237502,13.58076950663512,13.817789487380336,13.402572763569577,4.0,"(256, 256)",2.0,0.10987384276330374,0.24470238713497627,0.2572232040837777,0.2370663833820203,t1
252.0,case01015,14.857732603062452,14.344065538226289,14.34967688606732,12.626699726013493,2.0,"(256, 256)",2.0,0.18887411291510164,0.2139612593850167,0.21288598862200805,0.1535072112821415,t1
252.0,case01015,14.27165564237502,15.685277901476795,15.980986449370231,15.460388140223396,4.0,"(256, 256)",2.0,0.10987384276330374,0.24020721467391581,0.2597047565752183,0.22861036013913805,t1
270.0,case01015,14.857732603062452,11.227106398276385,12.551445289610436,15.40201942270093,2.0,"(256, 256)",2.0,0.18887411291510164,0.060433229200434424,0.06916653966467648,0.17240256669200835,t1
270.0,case01015,14.27165564237502,22.93252317208655,22.753424695574978,22.899396038523314,4.0,"(256, 256)",2.0,0.10987384276330374,0.46463378067152683,0.41355817362985114,0.4978367235818352,t1
288.0,case01015,14.857732603062452,14.290187124673084,13.646906953683317,14.490909508705219,2.0,"(256, 256)",2.0,0.18887411291510164,0.21883645670286214,0.21739582256408296,0.24321262530485047,t1
288.0,case01015,14.27165564237502,18.355514451533494,18.72268314045006,17.79656782523018,4.0,"(256, 256)",2.0,0.10987384276330374,0.30234957160313103,0.33518801976268264,0.28042544853576085,t1
306.0,case01015,14.857732603062452,14.485753398573301,13.62680776045891,12.930706848019524,2.0,"(256, 256)",2.0,0.18887411291510164,0.2755334614364145,0.22402953987633628,0.20807592565456645,t1
306.0,case01015,14.27165564237502,14.090807215768134,14.289499088564419,13.879501263056417,4.0,"(256, 256)",2.0,0.10987384276330374,0.25460018509484716,0.2675805103784637,0.24638874332494448,t1
324.0,case01015,14.857732603062452,13.47151649388724,13.548389134605454,15.20858463656076,2.0,"(256, 256)",2.0,0.18887411291510164,0.21660346158302093,0.21785919448002725,0.3196346648781678,t1
324.0,case01015,14.27165564237502,13.809646619933623,14.080723533307326,13.651132052996108,4.0,"(256, 256)",2.0,0.10987384276330374,0.2512514610629955,0.26463246081464287,0.24420117417658965,t1
342.0,case01015,14.857732603062452,10.781449054765686,14.65999245232668,14.748328447176215,2.0,"(256, 256)",2.0,0.18887411291510164,0.14124299159592368,0.2534087517564458,0.2839162000396409,t1
342.0,case01015,14.27165564237502,16.235566486508958,16.44654648462639,15.861371120335173,4.0,"(256, 256)",2.0,0.10987384276330374,0.2558978438279874,0.27395104501137346,0.24104095841284925,t1
0.0,case01015,14.87008356333153,15.284471935913526,13.933621569470503,13.512408479541815,2.0,"(256, 256)",3.0,0.2569464525240318,0.12734731421430692,0.08962066886092679,0.08405053490849923,t1
0.0,case01015,14.19061160693853,23.31668274450316,22.368794390850184,23.40828065723247,4.0,"(256, 256)",3.0,0.12618497686900615,0.35954631105386536,0.2846074413881963,0.3859126540270308,t1
18.0,case01015,14.87008356333153,13.319275422058372,14.523531344292929,13.196577115068127,2.0,"(256, 256)",3.0,0.2569464525240318,0.18076272962213452,0.2809338667152056,0.17724745536539058,t1
